News Titles,Day,Date,Links
"Madurai

Water level in Papanasam dam stands at 61.55 feet
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Madurai/
"Telangana

BJP’s manifesto a ‘post-dated cheque of a failing bank’: Revanth
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/telangana/
"Karnataka

South Western Railway ramps up efforts to ensure easy access to, availability of drinking water in all its stations
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/karnataka/
"Andhra Pradesh

Fire mishap at warehouse in Anantapur
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/andhra-pradesh/
"Coimbatore

Melons, water sprinklers to protect animals at Kurumbapatti zoo in Salem from searing heat
M. Sabari",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Coimbatore/
"Andhra Pradesh

Police register attempt-to-murder case in stone pelting on A.P. Chief Minister Jagan Mohan Reddy
Rajulapudi Srinivas",Sunday, 14th April 2024,https://www.thehindu.com/news/national/andhra-pradesh/
"Mangaluru

Swacch Mangaluru Abhiyan volunteers clean Kottara Chowki, Kottara areas
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Mangalore/
"Lok Sabha Elections

Candidates in Tiruchi come up with innovative ideas to make an impression on voters
Ancy Donal Madonna",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"Odisha

Needed urgently: more than just bait and tackle  
Satyasundar Barik",Sunday, 14th April 2024,https://www.thehindu.com/news/national/odisha/
"Visakhapatnam

YSRCP leaders stage protests in Visakhapatnam condemning the attack on Jagan
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Visakhapatnam/
"Mangaluru

Hair salon owner stabbed, accused arrested
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Mangalore/
"Hyderabad

Telangana Governor pays tributes to Ambedkar on his birth anniversary
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Hyderabad/
